sourceAccount,currency,amountInCents,desinationAccount,batchID,transactionID
40,USD,81980,13,1,1
12,USD,141982,35,1,2
40,USD,986313,37,1,3
29,USD,263109,12,1,4
20,USD,614164,38,1,5
4,USD,517088,23,1,6
13,USD,79790,40,1,7
16,USD,294670,39,1,8
39,USD,773224,24,1,9
27,USD,992476,21,1,10
34,USD,292137,12,1,11
10,USD,970313,24,1,12
25,USD,426831,31,1,13
23,USD,505351,40,1,14
25,USD,328973,13,1,15
1,USD,242705,25,1,16
13,USD,120217,28,1,17
4,USD,603679,30,1,18
17,USD,683612,6,1,19
4,USD,890769,38,1,20
39,USD,399304,3,1,21
28,USD,743984,10,1,22
6,USD,746705,1,1,23
29,USD,730250,27,1,24
37,USD,120293,36,1,25
33,USD,640018,5,1,26
11,USD,256605,19,1,27
1,USD,783114,26,1,28
6,USD,210359,9,1,29
28,USD,755569,1,1,30
22,USD,843642,7,1,31
11,USD,581753,24,1,32
11,USD,770759,35,1,33
23,USD,702676,16,1,34
29,USD,803743,24,1,35
16,USD,407948,34,1,36
5,USD,993187,5,1,37
5,USD,1293187,5,1,37
43,USD,1143187,37,1,4
33,USD,39833,10,1,38
37,USD,632470,25,1,39
24,USD,23159,24,1,40
10,USD,799395,9,1,41
